#OTU ID	16SAMP-2340	16SAMP-2589	16SAMP-2643	16SAMP-3459	16SAMP-3460	16SAMP-3463	16SAMP-4077	16SAMP-4081	16SAMP-4598	16SAMP-4601	MQ180605-111	MQ180605-112	MQ180605-113	MQ180605-114	MQ180605-115	MQ180605-116	MQ180605-117	MQ180605-118	MQ180605-119	MQ180605-120	MQ180605-121	MQ180605-122	MQ180605-123	MQ180605-124	MQ180605-125	MQ180605-126	MQ180605-127	MQ180605-128	MQ180605-129	MQ180605-130	MQ180605-131	MQ180605-132	MQ180605-133	MQ180605-134	MQ180605-135	MQ180605-136	MQ180605-137	MQ180605-138	MQ180605-139	MQ180605-140	MQ180605-141	MQ180605-142	MQ180605-143	MQ180605-144	MQ180605-145	MQ180605-146	MQ180605-147	MQ180605-148
ASV2462	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	10	0	1	2	236	0	0	0	0	1	31	109	5	0	0	0	0	0	0	0
ASV5566	0	0	0	12	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	9	0	0	1	0	9	0	6	3	0	13	10	15
ASV12710	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4	2	1	0	0	1	1
ASV3412	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
ASV12954	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	1	0	0	1	3	0	0	0	2	0	4
ASV16179	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7744	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0
ASV266	0	0	0	2	0	1	2	0	0	2	0	0	2	1	8	0	0	4	1	0	0	0	0	0	0	0	1	13	7	0	2	0	16	26	2	85	735	124	0	42	1220	10	205	6	8	317	5	1301
ASV12467	0	0	0	7	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0
ASV9465	0	0	0	7	0	0	0	0	7	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	4	0	19	0	4	0	0	0	0	1	0	0	0	0	23	1	0	0	0	0	0	0	0	0
ASV2617	0	0	0	11	8	9	18	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	43	1	6	5	11	1	2	58	5	10	26	1	70	35	77
ASV5856	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0	0	40	124	0	0	0	0	0	0	0	0
ASV2976	0	0	0	16	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	2	0	0	3	1	22	0	0	0	1	23	95	16
ASV3441	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	1	1	80	0	5	0	0	1	27	89	1	1	0	0	0	0	0	0
ASV15518	0	0	0	16	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	2	0	1	1	0	0	1	0	1	0	1
ASV12737	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV8626	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	10	0	1	0	0	1	2	2	0	0	1	6	0
ASV3503	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	42	0	73	0	0	0	6	28	0	0	0	0	0	1	68	8
