SeqID	sampleid	Genotype	Soil	Compartment	Bio_rep	Tech_rep	Library
18085-B5-R-59-S59-library1	Hv.RZ.2.3	Barley	Askov	Rhizosphere	2	3	1
18085-B5-R-60-S60-library1	Hv.RZ.3.3	Barley	Askov	Rhizosphere	3	3	1
18085-B5-R-61-S61-library1	Mz.RZ.1.3	Maize	Askov	Rhizosphere	1	3	1
18085-B5-R-62-S62-library1	Mz.RZ.2.3	Maize	Askov	Rhizosphere	2	3	1
18085-B5-R-63-S63-library1	Mz.RZ.3.3	Maize	Askov	Rhizosphere	3	3	1
18085-B5-R-64-S64-library1	Lj.ES.1.3	Lj	Askov	Endosphere	1	3	1
18085-B5-R-65-S65-library1	Lj.ES.2.3	Lj	Askov	Endosphere	2	3	1
18085-B5-R-66-S66-library1	Lj.ES.3.3	Lj	Askov	Endosphere	3	3	1
18085-B5-R-67-S67-library1	Mt.ES.1.3	Mt	Askov	Endosphere	1	3	1
18085-B5-R-68-S68-library1	Mt.ES.2.3	Mt	Askov	Endosphere	2	3	1
18085-B5-R-69-S69-library1	Mt.ES.3.3	Mt	Askov	Endosphere	3	3	1
18085-B5-R-70-S70-library1	Hv.ES.1.3	Barley	Askov	Endosphere	1	3	1
18085-B5-R-71-S71-library1	Hv.ES.2.3	Barley	Askov	Endosphere	2	3	1
18085-B5-R-72-S72-library1	Hv.ES.3.3	Barley	Askov	Endosphere	3	3	1
18085-B5-R-73-S73-library1	Mz.ES.1.1	Maize	Askov	Endosphere	1	1	1
18085-B5-R-74-S74-library1	Mz.ES.2.1	Maize	Askov	Endosphere	2	1	1
18085-B5-R-75-S75-library1	Mz.ES.3.1	Maize	Askov	Endosphere	3	1	1
18085-B5-R-76-S76-library1	Lj.Nod.1.1	Lj	Askov	Nodule	1	1	1
18085-B5-R-77-S77-library1	Lj.Nod.2.1	Lj	Askov	Nodule	2	1	1
18085-B5-R-78-S78-library1	Lj.Nod.3.1	Lj	Askov	Nodule	3	1	1
18085-B5-R-79-S79-library1	Mt.Nod.1.1	Mt	Askov	Nodule	1	1	1
18085-B5-R-80-S80-library1	Mt.Nod.2.1	Mt	Askov	Nodule	2	1	1
18085-B5-R-81-S81-library1	Mt.Nod.3.1	Mt	Askov	Nodule	3	1	1
18085-B5-R-01-S1-library2	Mz.ES.1.2	Maize	Askov	Endosphere	1	2	2
18085-B5-R-02-S2-library2	Mz.ES.2.2	Maize	Askov	Endosphere	2	2	2
18085-B5-R-03-S3-library2	Mz.ES.3.2	Maize	Askov	Endosphere	3	2	2
18085-B5-R-04-S4-library2	Lj.Nod.1.2	Lj	Askov	Nodule	1	2	2
18085-B5-R-05-S5-library2	Lj.Nod.2.2	Lj	Askov	Nodule	2	2	2
18085-B5-R-06-S6-library2	Lj.Nod.3.2	Lj	Askov	Nodule	3	2	2
18085-B5-R-07-S7-library2	Mt.Nod.1.2	Mt	Askov	Nodule	1	2	2
18085-B5-R-08-S8-library2	Mt.Nod.2.2	Mt	Askov	Nodule	2	2	2
18085-B5-R-09-S9-library2	Mt.Nod.3.2	Mt	Askov	Nodule	3	2	2
18085-B5-R-25-S25-library2	Mz.ES.1.3	Maize	Askov	Endosphere	1	3	2
18085-B5-R-26-S26-library2	Mz.ES.2.3	Maize	Askov	Endosphere	2	3	2
18085-B5-R-27-S27-library2	Mz.ES.3.3	Maize	Askov	Endosphere	3	3	2
18085-B5-R-28-S28-library2	Lj.Nod.1.3	Lj	Askov	Nodule	1	3	2
18085-B5-R-29-S29-library2	Lj.Nod.2.3	Lj	Askov	Nodule	2	3	2
18085-B5-R-30-S30-library2	Lj.Nod.3.3	Lj	Askov	Nodule	3	3	2
18085-B5-R-31-S31-library2	Mt.Nod.1.3	Mt	Askov	Nodule	1	3	2
18085-B5-R-32-S32-library2	Mt.Nod.2.3	Mt	Askov	Nodule	2	3	2
18085-B5-R-33-S33-library2	Mt.Nod.3.3	Mt	Askov	Nodule	3	3	2
