"FLASV","idty","Kingdom","Phylum","Class","Order","Family","Genus"
"FLASV8342.1345",99.5,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"FLASV8343.1378",92.2,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",""
"FLASV8344.1319",99.5,"Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum","",""
"FLASV8345.1379",99.1,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV8346.1374",99.2,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"FLASV8347.1332",97.8,"Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","",""
"FLASV8348.1365",97.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"FLASV8349.1350",99.8,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"FLASV8350.1323",97.9,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea"
"FLASV8351.1340",99.7,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI_0001001-H03"
"FLASV8352.1357",96.8,"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",""
"FLASV8353.1352",99.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV8354.1345",99,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",""
"FLASV8355.1380",98.1,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus"
"FLASV8356.1342",99.4,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"FLASV8357.1344",98.7,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV8358.1308",98.6,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Anabaena_PCC-7122"
"FLASV8359.1284",98.1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"FLASV8360.1291",99.1,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",""
"FLASV8361.1356",99.4,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"FLASV8362.1346",99.6,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"FLASV8363.1352",99.7,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"FLASV8364.1360",98.7,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"FLASV8365.1352",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV8366.1303",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",""
"FLASV8367.1356",98.4,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas"
"FLASV8368.1339",98.3,"Bacteria","Acidobacteriota","Subgroup_20","","",""
"FLASV8369.1359",99.9,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"FLASV8370.1373",99.2,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","",""
"FLASV8371.1352",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter"
"FLASV8372.1359",99.7,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Ca_Accumulibacter"
"FLASV8373.1357",98.3,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum"
"FLASV8374.1377",93.5,"Bacteria","Latescibacterota","","","",""
"FLASV8375.1350",99.8,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"FLASV8376.1358",96.5,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"FLASV8377.1338",99.2,"Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Leptospira"
"FLASV8378.1384",98.1,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"FLASV8379.1377",99.3,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","",""
"FLASV8380.1310",99.6,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",""
