"FLASV","idty","Kingdom","Phylum","Class","Order","Family","Genus"
"FLASV1.1359",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV2.952",100,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV3.1306",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV4.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV5.1308",99,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc_PCC-7524"
"FLASV6.952",99.8,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV7.1345",99.1,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"FLASV8.1368",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"FLASV9.952",99.7,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV10.1360",99.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV11.1360",99.4,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV12.1360",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV13.1345",99.2,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"FLASV14.1339",99.6,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV15.1352",100,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV16.1360",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV17.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV18.1379",99.1,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV19.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV20.1372",100,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV21.1362",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",""
"FLASV22.1372",99.6,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV23.1352",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV24.1311",100,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Lotus_japonicus",""
"FLASV25.1345",100,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Elizabethkingia"
"FLASV26.1358",99.6,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"FLASV27.1366",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"FLASV28.1309",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV29.1340",99.9,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV30.1358",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV31.1340",98.4,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV32.1306",99.2,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Durinskia_baltica",""
"FLASV33.1352",98.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV34.1344",99,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV35.1306",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"FLASV36.1361",99.5,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV37.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV38.1303",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"FLASV39.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV40.1309",99.2,"Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"FLASV41.1313",98.9,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya_Es-Yyy1000"
"FLASV42.1358",99.2,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV43.1345",98.7,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"FLASV44.952",99.8,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV45.1379",99.8,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV46.1360",99,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV47.1360",99.7,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV48.1360",99.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV49.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV50.1352",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV51.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV52.1339",99.6,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV53.1379",100,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV54.1360",99.2,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV55.1302",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV56.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV57.1312",92.8,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chlamydomonas_reinhardtii",""
"FLASV58.1342",98.7,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV59.1372",100,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV60.1358",98.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV61.1309",99.6,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","",""
"FLASV62.1359",98.7,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV63.1344",98.4,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV64.1359",99.3,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV65.1343",99.6,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group"
"FLASV66.1309",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV67.1310",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",""
"FLASV68.1306",99.3,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV69.1345",99.8,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Elizabethkingia"
"FLASV70.952",99.8,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Ca_Nitrososphaera"
"FLASV71.1377",99.2,"Bacteria","Myxococcota","bacteriap25","","",""
"FLASV72.1310",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",""
"FLASV73.1366",99.7,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"FLASV74.1345",99.8,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Elizabethkingia"
"FLASV75.952",99.5,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Ca_Nitrososphaera"
"FLASV76.1345",99.9,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Elizabethkingia"
"FLASV77.1304",99.4,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"FLASV78.1344",99.3,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV79.1356",99.8,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"FLASV80.1350",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"FLASV81.1306",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"FLASV82.1311",99.2,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Phormidium_SAG_37.90"
"FLASV83.1366",99.6,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"FLASV84.952",99.7,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV85.1303",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"FLASV86.1366",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"FLASV87.1310",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"FLASV88.1352",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV89.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV90.1352",98.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV91.1352",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV92.1358",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV93.1380",99.3,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV94.1352",99.3,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV95.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV96.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV97.1309",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV98.1308",97.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"FLASV99.1309",99.6,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV100.1352",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV101.1360",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV102.1309",99.4,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","",""
"FLASV103.1336",91,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chlamydomonas_reinhardtii",""
"FLASV104.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV105.1306",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV106.1310",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"FLASV107.1340",98.4,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV108.1307",99.2,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Phormidium_SAG_37.90"
"FLASV109.952",99.7,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV110.1352",99,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV111.1311",95.6,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae",""
"FLASV112.1377",99.7,"Bacteria","Myxococcota","bacteriap25","","",""
"FLASV113.1345",99.3,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"FLASV114.1350",99.7,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"FLASV115.952",99.6,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV116.1377",99.3,"Bacteria","Myxococcota","bacteriap25","","",""
"FLASV117.1361",99.6,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV118.1352",98.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV119.1345",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"FLASV120.1314",98.3,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Wilmottia_Ant-Ph58"
"FLASV121.1351",99.7,"Bacteria","Acidobacteriota","Blastocatellia","11-24","",""
"FLASV122.1301",89,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",""
"FLASV123.1380",99.7,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV124.1346",99.5,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV125.1361",99.9,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV126.1352",99.3,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV127.1379",99.7,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV128.1339",99.6,"Bacteria","Acidobacteriota","Subgroup_11","","",""
"FLASV129.1305",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV130.1380",98.9,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV131.1348",96.8,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28","",""
"FLASV132.1309",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","Nordella"
"FLASV133.952",99.6,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV134.1359",99.6,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"FLASV135.1344",99.3,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV136.1331",99.1,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"FLASV137.1373",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV138.1359",99.5,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"FLASV139.1365",98.6,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"FLASV140.1358",99.6,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"FLASV141.1360",98.6,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus"
"FLASV142.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV143.1358",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV144.1310",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"FLASV145.1308",98.8,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Cylindrospermum_SAG_11.82"
"FLASV146.1309",99.7,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","",""
"FLASV147.1309",99.1,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Phormidium_SAG_37.90"
"FLASV148.1309",99.1,"Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"FLASV149.1361",99.8,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV150.1304",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"FLASV151.1331",98.8,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"FLASV152.1346",99,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV153.1344",99.6,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV154.1352",99.3,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV155.1309",99.8,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Tolypothrix"
"FLASV156.1352",99.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV157.1359",99.3,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"FLASV158.1308",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"FLASV159.1344",99.3,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV160.1310",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"FLASV161.1344",98.9,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV162.1306",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"FLASV163.1306",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"FLASV164.1309",99.5,"Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"FLASV165.1309",97.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV166.1312",94.5,"Bacteria","Cyanobacteria","Cyanobacteriia","RD017","",""
"FLASV167.1380",99.6,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV168.1366",99.8,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"FLASV169.1304",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"FLASV170.1310",97.8,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc_PCC-7107"
"FLASV171.1314",99.3,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Phormidesmis_ANT.L52.6"
"FLASV172.1344",99.4,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV173.1342",99.4,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",""
"FLASV174.1375",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","",""
"FLASV175.1318",95.7,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chlorella_sorokiniana",""
"FLASV176.1356",99.4,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"FLASV177.1379",99.5,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV178.1341",99.5,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"FLASV179.1313",97.9,"Bacteria","Chloroflexi","Dehalococcoidia","S085","",""
"FLASV180.1377",97.8,"Bacteria","Latescibacterota","","","",""
"FLASV181.1349",98.5,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"FLASV182.1352",99.1,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV183.1361",99.6,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"FLASV184.1306",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"FLASV185.1340",99.9,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",""
"FLASV186.1374",99.7,"Bacteria","Acidobacteriota","Blastocatellia","11-24","",""
"FLASV187.952",99.7,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV188.1380",98.3,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV189.1284",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"FLASV190.1282",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"FLASV191.1358",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV192.1287",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Pythium_ultimum"
"FLASV193.1349",98.1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV194.1352",98.5,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum"
"FLASV195.1309",98.9,"Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"FLASV196.1319",98.7,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","",""
"FLASV197.1380",99.2,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV198.1359",99.1,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"FLASV199.1352",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV200.1353",99.4,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",""
"FLASV201.1352",99.4,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV202.1360",98.7,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus"
"FLASV203.1352",98.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV204.1344",98.3,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV205.1377",97.1,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",""
"FLASV206.1306",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"FLASV207.1344",99.5,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV208.1356",99.8,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"FLASV209.1360",99.4,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV210.1339",99.8,"Bacteria","Acidobacteriota","Subgroup_11","","",""
"FLASV211.1309",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","",""
"FLASV212.952",99.5,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV213.1352",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"FLASV214.1367",99.6,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"FLASV215.1358",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV216.1352",98.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
