FLASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Tax
FLASV8800.1350,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,AsCoM_g_222,AsCoM_s_8800,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:AsCoM_g_222,s:AsCoM_s_8800,"
FLASV8801.1357,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,AsCoM_g_6360,AsCoM_s_8801,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:SC-I-84,g:AsCoM_g_6360,s:AsCoM_s_8801,"
FLASV8802.1325,Bacteria,Chloroflexi,Anaerolineae,SBR1031,AsCoM_f_5991,AsCoM_g_5991,AsCoM_s_5991,"d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031,f:AsCoM_f_5991,g:AsCoM_g_5991,s:AsCoM_s_5991,"
FLASV8803.1379,Bacteria,Myxococcota,bacteriap25,AsCoM_o_71,AsCoM_f_71,AsCoM_g_8803,AsCoM_s_8803,"d:Bacteria,p:Myxococcota,c:bacteriap25,o:AsCoM_o_71,f:AsCoM_f_71,g:AsCoM_g_8803,s:AsCoM_s_8803,"
FLASV8804.1358,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,AsCoM_g_2459,AsCoM_s_8804,"d:Bacteria,p:Dependentiae,c:Babeliae,o:Babeliales,f:Vermiphilaceae,g:AsCoM_g_2459,s:AsCoM_s_8804,"
FLASV8805.1374,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,AsCoM_s_2845,"d:Bacteria,p:Acidobacteriota,c:Thermoanaerobaculia,o:Thermoanaerobaculales,f:Thermoanaerobaculaceae,g:Subgroup_10,s:AsCoM_s_2845,"
FLASV8806.1401,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,AsCoM_f_6884,AsCoM_g_8806,AsCoM_s_8806,"d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:AsCoM_f_6884,g:AsCoM_g_8806,s:AsCoM_s_8806,"
FLASV8807.1371,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,AsCoM_s_3739,"d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:AsCoM_s_3739,"
FLASV8808.1309,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,AsCoM_s_8808,"d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:SM1A02,s:AsCoM_s_8808,"
FLASV8809.1344,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,AsCoM_s_1911,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,s:AsCoM_s_1911,"
FLASV8810.1352,Bacteria,Planctomycetota,OM190,AsCoM_o_2022,AsCoM_f_3253,AsCoM_g_8810,AsCoM_s_8810,"d:Bacteria,p:Planctomycetota,c:OM190,o:AsCoM_o_2022,f:AsCoM_f_3253,g:AsCoM_g_8810,s:AsCoM_s_8810,"
FLASV8811.1377,Bacteria,Planctomycetota,Pla3_lineage,AsCoM_o_923,AsCoM_f_923,AsCoM_g_6369,AsCoM_s_8811,"d:Bacteria,p:Planctomycetota,c:Pla3_lineage,o:AsCoM_o_923,f:AsCoM_f_923,g:AsCoM_g_6369,s:AsCoM_s_8811,"
FLASV8812.1357,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,AsCoM_g_8812,AsCoM_s_8812,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Diplorickettsiales,f:Diplorickettsiaceae,g:AsCoM_g_8812,s:AsCoM_s_8812,"
FLASV8813.1367,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,AsCoM_s_3389,"d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Gaiellales,f:Gaiellaceae,g:Gaiella,s:AsCoM_s_3389,"
FLASV8814.1314,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,AsCoM_f_3,Bauldia,AsCoM_s_8814,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:AsCoM_f_3,g:Bauldia,s:AsCoM_s_8814,"
FLASV8815.1353,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Hassallia,AsCoM_s_1081,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Microscillaceae,g:Hassallia,s:AsCoM_s_1081,"
FLASV8816.1363,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,AsCoM_s_8816,"d:Bacteria,p:Firmicutes,c:Bacilli,o:Paenibacillales,f:Paenibacillaceae,g:Paenibacillus,s:AsCoM_s_8816,"
FLASV8817.1359,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,AsCoM_s_1567,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Terrimonas,s:AsCoM_s_1567,"
FLASV8818.1359,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,AsCoM_s_7172,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Flavihumibacter,s:AsCoM_s_7172,"
FLASV8819.1379,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,AsCoM_s_4862,"d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Pyrinomonadales,f:Pyrinomonadaceae,g:RB41,s:AsCoM_s_4862,"
FLASV8820.1314,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,AsCoM_s_8820,"d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:SM1A02,s:AsCoM_s_8820,"
FLASV8821.1366,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,AsCoM_s_1678,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Arenimonas,s:AsCoM_s_1678,"
FLASV8822.1357,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,AsCoM_s_8822,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Nitrosomonadaceae,g:mle1-7,s:AsCoM_s_8822,"
FLASV8823.1356,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,AsCoM_s_208,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Variovorax,s:AsCoM_s_208,"
FLASV8824.1349,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,AsCoM_s_1976,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Hymenobacteraceae,g:Adhaeribacter,s:AsCoM_s_1976,"
FLASV8825.1390,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin516,AsCoM_s_8825,"d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Pedosphaerales,f:Pedosphaeraceae,g:Ellin516,s:AsCoM_s_8825,"
FLASV8826.1370,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_13,AsCoM_f_8826,AsCoM_g_8826,AsCoM_s_8826,"d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Subgroup_13,f:AsCoM_f_8826,g:AsCoM_g_8826,s:AsCoM_s_8826,"
FLASV8827.1339,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,AsCoM_f_813,AsCoM_g_3136,AsCoM_s_3136,"d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:IMCC26256,f:AsCoM_f_813,g:AsCoM_g_3136,s:AsCoM_s_3136,"
