ID;Domain;Supergroup;Division;Subdivision;Class;Order;Family;Genus;Species
Clone04;Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Klebsormidiophyceae;Klebsormidiophyceae_X;Klebsormidiophyceae_XX;Klebsormidium
Clone10;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae
Clone40;Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae;Eustigmatophyceae_X;Eustigmatophyceae_XX;Chloridella
Clone62;Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes
Clone83;Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes
Clone76;Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Mucoromycotina_XX;Mucoromycotina_XX_sp.
Clone95;Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Rhizoctonia;Rhizoctonia_solani
Clone77;Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Mucoromycotina_XX;Mucoromycotina_XX_sp.
Clone64;Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Cryptococcus;Cryptococcus_terricola
Clone42;Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Pezizomycetes;Pezizomycetes_X;Pezizomycetes_X_sp.
Clone56;Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Ochromonadales;Ochromonadales_X
Clone66;Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Cryptococcus
Clone17;Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida;Actinocephalidae;Monocystis;Monocystis_sp.
Clone70;Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Cryptococcus;Cryptococcus_terricola
Clone29;Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Hypotrichia
Clone16;Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia;Euamoebida;Nolandellidae;Nolandellidae_X;Nolandellidae_X_sp.
Clone57;Eukaryota;Obazoa;Opisthokonta;Fungi;unclassified Fungi
Clone23;Eukaryota;Obazoa;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea_X;Rhabditis
Clone67;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X;Heterochlamydomonas
Clone06;Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes
Clone05;Eukaryota;TSAR;Alveolata;Ciliophora;Litostomatea;Litostomatea_X;Litostomatea_XX;Arcuospathidium_1;Arcuospathidium_namibiense
Clone45;Eukaryota;Obazoa;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea_X;Rhabditis
Clone71;Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Ascochyta
Clone58;Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Leotiomycetes;Tetracladium;Tetracladium_sp.
Clone68;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandonidae_X;Sandonidae_X_sp.
Clone15;Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Sporobolomyces;Sporobolomyces_roseus
Clone87;Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Sporobolomyces;Sporobolomyces_roseus
Clone08;Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Peronosporales;Pythium
Clone73;Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Peronosporales
Clone24;Eukaryota;TSAR;Stramenopiles;Gyrista;Diatomeae;Bacillariophyceae;Bacillariophycidae
Clone55;Eukaryota;TSAR;Stramenopiles;Gyrista;Eustigmatophyceae;Eustigmatophyceae_X;Eustigmatophyceae_XX;Chloridella
Clone26;Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Glomeromycotina
Clone78;Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Mucoromycotina_XX;Mucoromycotina_XX_sp.
Clone80;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae
Clone84;Eukaryota;TSAR;Rhizaria;Cercozoa;unclassified Cercozoa
Clone32;Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes
Clone13;Eukaryota;Obazoa;Opisthokonta;Ichthyosporea;Ichthyophonida;Pseudoperkinsidae;Pseudoperkinsidae_X;Anurofeca;Anurofeca_sp.
Clone41;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae
Clone11;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.
Clone59;Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Mucoromycotina_XX;Mucoromycotina_XX_sp.
Clone69;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida;Marimonadida_X;Marimonadida_XX;Marimonadida_XX_sp.
Clone75;Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Rhogostoma-lineage;Rhogostoma-lineage_X;Rhogostoma-lineage_X_sp.
Clone34;Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Isohypsibius;Isohypsibius_asper
Clone53;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chlorophyceae;Chlamydomonadales;Chlamydomonadales_X
Clone01;Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Bionectria
Clone30;Eukaryota;Obazoa;Opisthokonta;Fungi;Mucoromycota;Mucoromycotina;Mucorales;Mucoromycotina_XX;Mucoromycotina_XX_sp.
