Feature ID	Taxon	Confidence
ESV_630.1555	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Morganellaceae;  g__Xenorhabdus; s__	0.9394078882831242
ESV_692.1541	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Comamonadaceae;  g__Acidovorax; s__	0.8838880068314464
ESV_693.1511	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Micrococcaceae;  g__Paenarthrobacter; s__	0.982310893721958
ESV_737.1545	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Xanthomonadales;  f__Xanthomonadaceae;  g__Xylella;  s__Xylella_fastidiosa	0.9999740358793964
ESV_761.1522	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.9374163782080965
ESV_789.1556	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	0.9995764752737799
ESV_792.1550	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	0.9758237687473981
ESV_795.1579	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Oxalobacteraceae	0.9999991700329646
ESV_873.1550	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	0.9706347707063333
ESV_902.1559	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Aeribacillus;  s__Aeribacillus_pallidus	0.999999992634713
ESV_904.1556	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.8872381506428411
ESV_955.1529	k__Bacteria;  p__Verrucomicrobiota;  c__Chlamydiae;  o__Chlamydiales;  f__Chlamydiaceae;  g__Chlamydia;  s__Chlamydia_suis	0.9999761177748511
ESV_1129.1518	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Campylobacteraceae;  g__Campylobacter; s__	0.998232013636613
ESV_1150.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.968123764319491
ESV_1153.1543	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium	0.9999999814223166
ESV_1154.1558	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	0.9961420490426844
ESV_1176.1544	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Alcaligenaceae;  g__Alcaligenes; s__	0.93558953632693
ESV_1179.1541	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas; s__	0.9289190636157016
ESV_1206.1451	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; s__	0.9869528147556105
ESV_1210.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	0.9743326228753871
ESV_1212.1568	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Oceanobacillus;  s__Oceanobacillus_picturae	0.9993699059229586
ESV_1268.1554	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_equi	0.9999999884930731
ESV_1282.1522	k__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Flavobacteriales;  f__Weeksellaceae;  g__Elizabethkingia; s__	0.8911453530081971
ESV_1311.1537	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Comamonadaceae;  g__Alicycliphilus; s__	0.9983955034029693
ESV_1322.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	0.9872182110360902
ESV_1342.1579	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Lactobacillus	0.9999999937865891
ESV_1356.1519	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Peptoniphilus;  g__Peptoniphilus_sp._oral_taxon_386_str._F0131; s__	0.8188888791531012
ESV_1360.1520	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Nocardiaceae;  g__Rhodococcus; s__	0.8879011818582911
ESV_1363.1547	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas	0.9999992426786497
ESV_1371.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas; s__	0.8786479731549802
ESV_1379.1534	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Burkholderiaceae;  g__Burkholderia-Caballeronia-Paraburkholderia;  s__Paraburkholderia_caribensis	0.9647906533190661
ESV_1395.1555	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Aeromonadales;  f__Aeromonadaceae;  g__Aeromonas; s__	0.9995549743495724
ESV_1404.1521	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Burkholderiaceae;  g__Burkholderia-Caballeronia-Paraburkholderia; s__	0.7986280467728019
ESV_1416.1576	k__Bacteria;  p__Firmicutes;  c__Desulfitobacteriia;  o__Desulfitobacteriales;  f__Desulfitobacteriaceae;  g__Desulfitobacterium;  s__Desulfitobacterium_metallireducens	0.9999948548224813
